CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
5.01389E+12,NCN8882,BOLON TRANSPARENTE EN RED X 12 UNID. ( 25 MM ),Mar-Plast,0,,0,0,0,0,
5.01402E+12,NDE0191,LANZA PELOTAS CONICO CON 2 PELOTAS,Mar-Plast,0,,0,0,0,0,
5.0141E+12,HAV0990,HELICOPTERO PILAS SONIDO LUCES,Mar-Plast,0,,0,0,0,0,
5.01419E+12,FMS1909,MICROFONO INFANT. DOBLE CON PIE MUSICAL 15 MELODIAS,Mar-Plast,0,,0,0,0,0,
5.0142E+12,HAU1991,COLECTIVO FRICCION PLAST 25CM,Mar-Plast,0,,0,0,0,0,
5.0142E+12,HMO2000,MOTO PISTERA CON PILOTO FRICCION 15CM,Mar-Plast,0,,0,0,0,0,
5.01421E+12,HAU2095,COLECTIVO DE POLICIA 25CM MUSICAL MOVIMIENTO Y LUCES 3D PILAS,Mar-Plast,0,,0,0,0,0,
5.01443E+12,HAU4291,AUTO 4 X4 POLICIA RADIO CONTROL 6 FUNCCIONES,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4526,PELOTA DE FUTBOL Nª5 280G ECONOMICA COLORES,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4528,PELOTA DE FUTBOL Nª5 320 G T/F50 METALIZADO COLOR,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4530,PELOTA DE FUTBOL Nº2 DORADO METALIZADA,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4531,PELOTA DE FUTBOL Nº3 170Gr METALIZADO,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4532,PELOTA VOLEY 260G OFICIAL COLOR GUANYU,Guanyu,0,,0,0,0,0,
5.01445E+12,NDE4533,PELOTA BASQUET Nº3 NARANJA,Mar-Plast,0,,0,0,0,0,
5.01445E+12,NDE4534,PELOTA BASKET Nº5 NARANJA SPORTS,Mar-Plast,0,,0,0,0,0,
5.01446E+12,HAU4594,TRACTOR CON ACOPLADO CON ANIMAL,Mar-Plast,0,,0,0,0,0,
5.01446E+12,HAU4596,AUTITOS METAL X10 UNID COLECCION,Mar-Plast,0,,0,0,0,0,
5.01476E+12,HRO7597,MUÑECO TRANSFORMERS ROBOT AUTO ARMAS,Mar-Plast,0,,0,0,0,0,
5.01478E+12,FBZ7754,SET DE MANICURIA INFANTIL CON ACCESORIOS CON 4 JUEGOS UÑAS,Mar-Plast,0,,0,0,0,0,
5.01501E+12,HRO0094,Robot LANZADOR ARACNO,San Remo,0,,0,0,0,0,
5.01502E+12,NDE0163,PELOTA 20 CM PVC PLASTISOL DE FUTBOL 3 MODEL.,Mar-Plast,0,,0,0,0,0,
5.01502E+12,NDE0164,PELOTA PVC 20CM FLUO 75 Gr DISEÑOS SURTIDOS,Mar-Plast,0,,0,0,0,0,
5.01502E+12,NDE0165,PELOTA INFLABLE PINCHES 12.5CM 4 COLORES 40 Gr,Mar-Plast,0,,0,0,0,0,
5.01502E+12,NDE0166,PELOTA INFLABLE PINCHES 15CM 4 COLORES 50 Gr,Mar-Plast,0,,0,0,0,0,
5.01502E+12,NDE0167,PELOTA INFLABLE PINCHES 20 CM 4 COLORES,Mar-Plast,0,,0,0,0,0,
5.01508E+12,RPA0835,MONOPATIN METAL ALUMINIO 2 RUEDAS CAJA,Mar-Plast,0,,0,0,0,0,
5.01527E+12,NDE2708,PELOTA DE FUTBOL CON BRILLO,Mar-Plast,0,,0,0,0,0,
5.01533E+12,NAN3330,MOVIL MUSICAL INFANTIL ANIMALITOS PELUCHES COLOR,Mar-Plast,0,,0,0,0,0,
5.01533E+12,HRO3344,ROBOT TRANSFORMERS 15CM EN AUTO CON ACCES.,Mar-Plast,0,,0,0,0,0,
5.01534E+12,RAD3354,APRENDE A CAMINAR DIDACTICO CARITO ANIMAL SONIDO,Mar-Plast,0,,0,0,0,0,
5.01534E+12,RPT3371,AMETRALLADORA 59CM LUCES SONIDO VIBRACCION PROYECCION PILAS,Mar-Plast,0,,0,0,0,0,
5.01534E+12,HRC3392,AUTO FERRARI 1:20 R/C LUCES 3D 2 FUNC,Mar-Plast,0,,0,0,0,0,
5.01534E+12,HRO3405,MUÑECO ROBOT 24CM TRANSFORMABLE EN CAMIONETA SURTIDOS,Mar-Plast,0,,0,0,0,0,
5.01534E+12,NMS3407,MICROFONO INFANTIL MUSICAL LUCES MAN. PÌLA,Mar-Plast,0,,0,0,0,0,
5.01534E+12,HPI3418,PISTOLA CAMUFLADA 30CM MOVIMIENTO CHISPA /FRICCION,Mar-Plast,0,,0,0,0,0,
5.01534E+12,HPI3428,AMETRALLADORA CAMUFLADA 60CM FRICCION,Mar-Plast,0,,0,0,0,0,
5.01534E+12,HAU3435,CAMIONETA DE CARRERA 20CM,Mar-Plast,0,,0,0,0,0,
